question_id,bone_group,bone_name,difficulty_level,difficulty_score,question_text,option_a,option_b,option_c,option_d,correct_option
pelvis_01,Appendicular,Pelvis,Easy,0.2,Which bowl-shaped anatomical structure connects the axial skeleton to the lower limbs?,Pelvic girdle,Pectoral girdle,Thoracic cage,Vertebral column,A
pelvis_02,Appendicular,Pelvis,Easy,0.2,Each hip bone (coxal bone) is formed by the fusion of which three bones?,Ilium Ischium and Pubis,Femur Tibia and Fibula,Sacrum Coccyx and Lumbar,Talus Calcaneus and Navicular,A
pelvis_03,Appendicular,Pelvis,Easy,0.3,Which joint connects the posterior aspect of the pelvic girdle directly to the spine?,Sacroiliac joint,Glenohumeral joint,Pubic symphysis,Tibiofemoral joint,A
pelvis_04,Appendicular,Pelvis,Medium,0.5,The deep cup-like socket on the pelvic bone that articulates with the head of the femur is the:,Acetabulum,Obturator foramen,Glenoid fossa,Ischial spine,A
pelvis_05,Appendicular,Pelvis,Medium,0.5,Which prominent pelvic landmark is easily palpated along the upper boundary of the waistline?,Iliac crest,Ischial tuberosity,Pubic tubercle,Lesser trochanter,A
pelvis_06,Appendicular,Pelvis,Medium,0.6,The fibrocartilaginous joint that unites the left and right pubic bones anteriorly is called the:,Pubic symphysis,Sacroiliac joint,Acetabular labrum,Lineal alba,A
pelvis_07,Appendicular,Pelvis,Medium,0.6,Which part of the ischium bears the majority of body weight when sitting in an upright position?,Ischial tuberosity,Iliac fossa,Greater sciatic notch,Pectineal line,A
pelvis_08,Appendicular,Pelvis,Hard,0.8,"In physical therapy gait analysis, weakness in the gluteus medius causes the pelvis to drop on the unweighted side, known as:",Trendelenburg sign,Thomas sign,Lachman test,Babinski reflex,A
pelvis_09,Appendicular,Pelvis,Hard,0.8,An anterior pelvic tilt is characteristically accompanied by which spinal postural adjustment?,Increased lumbar lordosis,Decreased lumbar lordosis,Thoracic kyphosis reversal,Cervical protraction,A
pelvis_10,Appendicular,Pelvis,Hard,0.9,Which anatomical ligament converts the greater sciatic notch of the pelvis into the greater sciatic foramen?,Sacrospinous ligament,Inguinal ligament,Iliofemoral ligament,Pubofemoral ligament,A
arm_01,Appendicular,Humerus,Easy,0.2,"Which long bone forms the upper arm, extending from the shoulder to the elbow?",Humerus,Radius,Ulna,Femur,A
arm_02,Appendicular,Radius,Easy,0.2,"In the anatomical position, which forearm bone is located laterally on the thumb side?",Radius,Ulna,Humerus,Tibia,A
arm_03,Appendicular,Ulna,Easy,0.3,Which medial bone of the forearm runs parallel to the radius on the pinky side?,Ulna,Radius,Fibula,Clavicle,A
arm_04,Appendicular,Ulna,Medium,0.5,What prominent proximal projection of the ulna forms the elbow point?,Olecranon process,Coracoid process,Acromion process,Styloid process,A
arm_05,Appendicular,Humerus,Medium,0.5,The head of the humerus articulates with which shallow socket of the scapula?,Glenoid fossa,Acetabulum,Trochlear notch,Radial fossa,A
arm_06,Appendicular,Carpals,Medium,0.6,How many individual carpal bones make up the human wrist joint?,8 bones,7 bones,5 bones,14 bones,A
arm_07,Appendicular,Carpals,Medium,0.6,Which carpal bone is most commonly fractured during a fall on an outstretched hand (FOOSH)?,Scaphoid,Lunate,Triquetrum,Pisiform,A
arm_08,Appendicular,Radius,Hard,0.8,"During forearm pronation and supination, which bone rotates around the stationary ulna?",Radius,Humerus,Scapula,Clavicle,A
arm_09,Appendicular,Humerus,Hard,0.8,"In PT rehabilitation, a fracture at the surgical neck of the humerus poses the highest risk to which nerve?",Axillary nerve,Radial nerve,Ulnar nerve,Median nerve,A
arm_10,Appendicular,Radius,Hard,0.9,What type of joint articulation between the radius and ulna allows rotational forearm motion?,Pivot joint,Hinge joint,Saddle joint,Ball and socket joint,A
leg_01,Appendicular,Femur,Easy,0.2,"Which bone is the longest, heaviest, and strongest long bone in the human body?",Femur,Tibia,Fibula,Humerus,A
leg_02,Appendicular,Tibia,Easy,0.2,"In the lower leg, which larger bone serves as the primary weight-bearing shin bone?",Tibia,Fibula,Femur,Patella,A
leg_03,Appendicular,Patella,Easy,0.3,The kneecap is a sesamoid bone embedded within the quadriceps tendon known as the:,Patella,Pisiform,Talus,Calcaneus,A
leg_04,Appendicular,Fibula,Medium,0.5,Which slender lateral bone of the lower leg provides muscle attachments rather than direct weight-bearing?,Fibula,Tibia,Femur,Radius,A
leg_05,Appendicular,Tarsals,Medium,0.5,Which tarsal bone forms the heel of the foot and serves as the insertion point for the Achilles tendon?,Calcaneus,Talus,Navicular,Cuboid,A
leg_06,Appendicular,Tibia,Medium,0.6,The prominent bony bump felt on the anterior surface of the proximal tibia where the patellar ligament attaches is the:,Tibial tuberosity,Medial malleolus,Lateral condyle,Intercondylar eminence,A
leg_07,Appendicular,Femur,Medium,0.6,"The large, blunt projection located laterally at the junction of the femoral neck and shaft is the:",Greater trochanter,Lesser trochanter,Adductor tubercle,Lineal aspera,A
leg_08,Appendicular,Tarsals,Hard,0.8,Which tarsal bone articulates directly superiorly with the tibia and fibula to form the ankle mortise joint?,Talus,Calcaneus,Navicular,Medial cuneiform,A
leg_09,Appendicular,Fibula,Hard,0.8,"In PT clinical evaluation, impact trauma to the fibular head poses a high risk of injury to which nerve, leading to 'foot drop'?",Common peroneal nerve,Tibial nerve,Femoral nerve,Saphenous nerve,A
leg_10,Appendicular,Femur,Hard,0.9,"During the terminal 20 degrees of full knee extension, the femur medially rotates on the fixed tibia in a biomechanical event known as the:",Screw-home mechanism,Reciprocal translation,Bucket-handle glide,Valgus alignment,A
